coin,date,price,daily_pct_change,market_cap_billion,total_volume_billion
bitcoin,2024-02-28 00:00:00,57003.52673730811,0.0,1118.9637333173014,51.9837995871939
bitcoin,2024-02-29 00:00:00,62558.58202419311,9.745108074601427,1225.2738492416977,87.21885580401621
bitcoin,2024-03-01 00:00:00,61298.21686110162,-2.0146958615591126,1206.7253268721363,67.6926872473639
bitcoin,2024-03-02 00:00:00,62426.64052919186,1.8408751932330825,1227.712629022181,36.699193361155366
bitcoin,2024-03-03 00:00:00,62067.86680212177,-0.5747125330287872,1219.3833054834984,25.19821383125236
bitcoin,2024-03-04 00:00:00,63053.10543906421,1.5873570137080462,1236.3121766734498,27.10836939044353
bitcoin,2024-03-05 00:00:00,68186.64593432152,8.141614056136337,1333.9134366991725,74.5517146261156
bitcoin,2024-03-06 00:00:00,64291.536557569496,-5.712422606185763,1264.8702423185975,96.40376201266058
bitcoin,2024-03-07 00:00:00,66145.91927850846,2.884334113368814,1297.8457517596012,73.15190504204068
bitcoin,2024-03-08 00:00:00,66944.87639053575,1.2078705999432282,1317.5080105810814,48.8538926260196
bitcoin,2024-03-09 00:00:00,68315.25192078314,2.0470207790855177,1340.971395884519,63.34658822732869
bitcoin,2024-03-10 00:00:00,68508.0039626159,0.2821508175894216,1346.0272641104957,21.35970619081524
bitcoin,2024-03-11 00:00:00,69075.66688195744,0.8286081720485061,1357.3903580315389,36.66054391716198
bitcoin,2024-03-12 00:00:00,72130.55300765681,4.42252136475183,1417.7725891139519,66.65306716593464
bitcoin,2024-03-13 00:00:00,71467.17350326062,-0.9196928024741036,1403.6929141391925,64.59934155127301
bitcoin,2024-03-14 00:00:00,73097.76702694128,2.2815978913819146,1436.6312905715388,51.90660104353671
bitcoin,2024-03-15 00:00:00,71420.03180142345,-2.2951935384010747,1403.84348813524,63.073551321747466
bitcoin,2024-03-16 00:00:00,69497.7631929463,-2.6914978332995387,1367.6692375278737,81.20442700522602
bitcoin,2024-03-17 00:00:00,65292.31329331289,-6.051201803370043,1282.404282863459,49.265436012592275
bitcoin,2024-03-18 00:00:00,68425.41565643054,4.798577665708992,1344.5089830798568,47.190980586563924
bitcoin,2024-03-19 00:00:00,67708.94360930806,-1.0470846837379089,1331.7719239480377,51.10182256675771
bitcoin,2024-03-20 00:00:00,62132.51737873437,-8.235878354195869,1223.8674180623989,80.17941787647993
bitcoin,2024-03-21 00:00:00,67819.05570684028,9.152274152104775,1332.5941625075204,70.83680371491411
bitcoin,2024-03-22 00:00:00,65535.97844847657,-3.3664244283092337,1287.34806197142,48.39366454805336
bitcoin,2024-03-23 00:00:00,63509.04496523133,-3.0928560635419267,1247.3663674692777,42.436600223537376
bitcoin,2024-03-24 00:00:00,64285.80279102199,1.223066456464439,1264.7223552705166,25.48993324568756
bitcoin,2024-03-25 00:00:00,67310.98326810106,4.705829818930973,1323.456466317511,28.098318940431742
bitcoin,2024-03-26 00:00:00,69938.94530200244,3.9042098425960514,1371.7974897393415,44.820310272647525
bitcoin,2024-03-27 00:00:00,70082.05122475982,0.2046155001901084,1375.7285804632525,36.25732450856845
bitcoin,2024-03-28 00:00:00,69435.75040305211,-0.92220591494242,1360.2616877841017,41.44104088782227
bitcoin,2024-03-29 00:00:00,70710.19534863312,1.8354305068833727,1390.8697233480436,30.455289338476213
bitcoin,2024-03-30 00:00:00,69919.05546148612,-1.1188483969621688,1374.6468861078397,25.785951735485693
bitcoin,2024-03-31 00:00:00,69702.3087473573,-0.3099966278123034,1370.2474879600945,16.408802301837433
bitcoin,2024-04-01 00:00:00,71246.95144060145,2.21605671462457,1401.3702115823662,19.72300599821497
bitcoin,2024-04-02 00:00:00,69785.92503802372,-2.050651112835033,1373.7842860613487,36.04008898853872
bitcoin,2024-04-03 00:00:00,65440.41922587159,-6.2269086635799775,1288.360536576547,45.16113399209071
bitcoin,2024-04-04 00:00:00,66123.938539074,1.044491036714179,1301.6702356237265,35.55995296179732
bitcoin,2024-04-05 00:00:00,68542.17715279506,3.6571303330518834,1348.4559544433696,37.516850709638106
bitcoin,2024-04-06 00:00:00,67978.61023408506,-0.8222191679929991,1337.4525838763916,35.132808695804485
bitcoin,2024-04-07 00:00:00,69000.6499164776,1.5034724582823067,1358.5489567147142,19.11943813885082
bitcoin,2024-04-08 00:00:00,69401.97360911008,0.5816230616932705,1367.2722328520765,17.93547842901022
bitcoin,2024-04-09 00:00:00,71624.18486236996,3.201942448749296,1410.3246782686392,33.11194967102105
bitcoin,2024-04-10 00:00:00,69158.64381207665,-3.4423303455822785,1361.8306487086647,36.488482038859054
bitcoin,2024-04-11 00:00:00,70527.88997578963,1.9798626581423395,1387.7224859893583,38.37806263313138
bitcoin,2024-04-12 00:00:00,70106.66413070948,-0.5972471957189418,1379.324055321196,30.118549149510493
bitcoin,2024-04-13 00:00:00,67252.10504226631,-4.071737150581045,1321.6482474601612,43.47194972609197
bitcoin,2024-04-14 00:00:00,64404.82548907413,-4.233740418092092,1270.0095150973307,49.21448148020075
bitcoin,2024-04-15 00:00:00,65752.66004728881,2.092753994719443,1293.2863865533968,40.29291169295434
bitcoin,2024-04-16 00:00:00,63430.5714573684,-3.531550796956928,1247.9288968409971,42.796604938034235
bitcoin,2024-04-17 00:00:00,63720.501587480736,0.4570826392557237,1253.6709042974917,42.15716947439519
bitcoin,2024-04-18 00:00:00,61328.89798860725,-3.7532717717077215,1207.1850424844345,41.12336207593534
bitcoin,2024-04-19 00:00:00,63461.59269510717,3.477471104887786,1249.5659119473348,35.901618166423184
